S.No,Chipset SP,Customer,PDM Name
1,MSM8976.LA.1.3.c25      ,A,1
2,SDM660.LA.2.1.c26    ,B,2
3,MSM8937.LA.3.0.1.c26  ,C,3
4,SDA660.LA.1.5.c25 ,"A,C",4
5,MSM8909.LA.3.0.1.c25 ,"D,E",5
6,MSM8909.LA.3.1.2.c25 ,H,6
7,SDM660.LA.2.1.c25,"A,C",7
8,MSM8909.LA.1.2.c25,H,8
9,SDM450.LA.3.1.1.c25,B,1
10,SDM660.LA.3.0.2.C25 ,"C,D",2
11,MSM8953.LA.2.0.c25,A,3
12,QCM2150.LA.1.1.c25,"A,B",4
13,QCM6125.LA.1.0.c25,A,5
14,SDM660.LA.4.0.c26,B,6
15,SDM660.LA.3.0.1.C6,C,8
16,QCS605.LA.2.3.c25,"A,C",7
17,SDM845.LA.2.0.1.c25,"D,E",1
18,MSM8953.LA.3.2.1.c25,H,2
19,SDM660.LA.4.0.c35,"A,C",3
20,MSM8909.LA.3.0.c25,H,4
21,MSM8917.LA.3.0.c25,B,5
22,MSM8937.LA.3.0.c25,"C,D",6
23,SDM660.LA.3.0.1.c25,A,8
24,QCM2150.LA.1.1.c26,"A,B",7
25,QCS404.LE1.0.c25,"C,B,D,A",1
26,SDM845.LA.2.0.1.c10,"Q,L",2
27,APQ8053.LE.1.3.c25,P,3
28,SDM660.LA.3.0.c27,S,4
29,SDM660.LA.5.0.c25,L,5
30,QCM6490.LA.1.0.c26,"Q,L",6
31,QCM4290.LA.1.0.1.c25,M,8
32,QCM4290.LA.1.0.1.c26,"N,M",7
33,QCM2290.LA.1.0.1.c25,"A,M",1
34,SDM450.LA.3.2.2.c26,"M,B,L",2
35,SDM450.LA.3.2.3.c26,"L,O,P,A",3
36,Nicobar.LA.2.0.2.c25,"Q,A",4
37,Strait.LA.1.0.c26,"C,M",5
38,SDM660.LA.3.0.C25,"N,K",6
39,QCS610.LE.1.0.c25,K,8
40,MSM8953.LA.3.2.2.c25,M,7
41,SDM660.LA.3.0.1.c27,N,1
42,APQ8098.LA.2.0.2,"O,P",2
43,MSM8953.LA.3.1.1.C26,"Q,A",3
44,SDM660.LA.4.0.c27,"C,M",4
45,QCS610.LA.1.0.C25,"N,K",5
46,QCS605.LE.1.0.c25,K,6
47,SDM429W.LAW.2.0,M,8
48,MSM8909w.LAW3.0.0.1,N,7
49,SW5100.LAW.1.1,"O,P",1
50,SDM439.LA.2.0.c30,"N,M",2
51,SDM450.LA.3.2.2.c30,"A,M",3
52,Kamorta.LA.1.0.c25,"M,B,L",4
53,QM215.LA.3.2.2.1.c31,"L,O,P,A",5
54,SDM450.LA.3.2.2.C25,"Q,A",6
55,QM215.LA.3.2.2.1.c31,"C,M",8
56,SDM660.LA.2.1.c7,"N,K",7
57,SDM450.LA.3.1.1.c1,H,1
58,SDM450.LA.3.0.1.c2,B,2
59,MSM8953.LA.3.0.1.c2,"C,D",3
60,SDM845.LA.2.0.3.C25,A,4
61,MSM8998.LA.2.0.3.C25,"A,B",5
62,QM215.LA.3.2.3.C27,H,6
63,MSM8998.LA.1.1.C25,B,8
64,SDM660.LA.3.0.3.c21,"C,D",7
65,SDM450.LA.3.2.3.c25,A,1
66,Mannar.LA.1.0.1.c25,"A,B",2
67,SM8150.LA.2.0.2.c25,"C,B,D,A",3
68,Kamorta.LA.1.0.1.c25,"Q,L",4
69,SDM439.LA.3.0.C1,P,5
70,SDM450.LA.3.2.3.C1,S,6
71,SDM450.LA.3.2.4,L,8
72,SDM710.LA.2.1.1.c25,"Q,L",7
73,"SDM710.LA.2,1.c2",M,1
74,Kamorta.LA.2.0.C25,"N,M",2
75,SXR1130.LA.2.1.1.C25,"A,M",3
